Timestamp	sender	Title	Detail
2025-07-14 06:11:16.125000+00:00	WSPROXY	Disconnect	Server: Connection Error
2025-07-14 05:20:08.464000+00:00	WSPROXY	Send	"[3,""8d954507-5f51-46ee-ab0a-4a0d62f672af"",{""idTagInfo"":{""expiryDate"":""2025-12-12T12:00:44Z"",""parentIdTag"":"""",""status"":""Accepted""}}]"
2025-07-14 05:20:08.369000+00:00	WSPROXY	Receive	"[2,""8d954507-5f51-46ee-ab0a-4a0d62f672af"",""StopTransaction"",{""idTag"":""DB8C3AF5"",""meterStop"":140703,""timestamp"":""2025-07-14T05:20:05.461Z"",""transactionId"":1058,""reason"":""Remote"",""transactionData"":[{""timestamp"":""2025-07-14T05:18:24.905Z"",""sampledValue"":[{""value"":""139.44"",""context"":""Transaction.Begin"",""format"":""Raw"",""measurand"":""Energy.Active.Import.Register"",""location"":""Body"",""unit"":""kWh""}]},{""timestamp"":""2025-07-14T05:20:05.461Z"",""sampledValue"":[{""value"":""140.703"",""context"":""Transaction.End"",""format"":""Raw"",""measurand"":""Energy.Active.Import.Register"",""location"":""Body"",""unit"":""kWh""}]}]}]"
2025-07-14 05:20:07.320000+00:00	WSPROXY	Send	"[3,""6d63a959-91af-4aca-b593-214759bf41c1"",{}]"
2025-07-14 05:20:07.319000+00:00	WSPROXY	Send	"[3,""5b7510d0-5c97-4c61-97e5-7b657823b4b0"",{}]"
2025-07-14 05:20:07.190000+00:00	WSPROXY	Receive	"[2,""6d63a959-91af-4aca-b593-214759bf41c1"",""StatusNotification"",{""errorCode"":""NoError"",""connectorId"":2,""status"":""Finishing"",""timestamp"":""2025-07-14T05:20:05.968Z"",""vendorErrorCode"":""NoError"",""info"":"""",""vendorId"":""Gresgying""}]"
2025-07-14 05:20:07.189000+00:00	WSPROXY	Receive	"[2,""5b7510d0-5c97-4c61-97e5-7b657823b4b0"",""MeterValues"",{""connectorId"":2,""transactionId"":1058,""meterValue"":[{""timestamp"":""2025-07-14T05:20:05.461Z"",""sampledValue"":[{""value"":""140.703"",""context"":""Transaction.End"",""format"":""Raw"",""measurand"":""Energy.Active.Import.Register"",""location"":""Body"",""unit"":""kWh""},{""value"":""0"",""context"":""Transaction.End"",""format"":""Raw"",""measurand"":""Current.Import"",""location"":""Body"",""unit"":""A""},{""value"":""0"",""context"":""Transaction.End"",""format"":""Raw"",""measurand"":""Voltage"",""location"":""Body"",""unit"":""V""},{""value"":""0"",""context"":""Transaction.End"",""format"":""Raw"",""measurand"":""Power.Active.Import"",""location"":""Body"",""unit"":""kW""},{""value"":""35"",""context"":""Transaction.End"",""format"":""Raw"",""measurand"":""SoC"",""location"":""EV"",""unit"":""Percent""},{""value"":""36.9"",""context"":""Transaction.End"",""format"":""Raw"",""measurand"":""Temperature"",""location"":""Outlet"",""unit"":""Celsius""},{""value"":""0"",""context"":""Transaction.End"",""format"":""Raw"",""measurand"":""Power.Offered"",""location"":""Body"",""unit"":""kW""}]}]}]"
2025-07-14 05:20:04.157000+00:00	WSPROXY	Receive	"[3,""322b0b2d607211f091f10242c0a83009"",{""status"":""Accepted""}]"
2025-07-14 05:20:03.276000+00:00	WSPROXY	Send	"[2,""322b0b2d607211f091f10242c0a83009"",""RemoteStopTransaction"",{""transactionId"":1058}]"
2025-07-14 05:19:58.303000+00:00	WSPROXY	Send	"[3,""35669a45-8da9-40b2-aaf2-c3ecb2c10942"",{}]"
2025-07-14 05:19:58.204000+00:00	WSPROXY	Receive	"[2,""35669a45-8da9-40b2-aaf2-c3ecb2c10942"",""MeterValues"",{""connectorId"":2,""transactionId"":1058,""meterValue"":[{""timestamp"":""2025-07-14T05:19:56.065Z"",""sampledValue"":[{""value"":""140.568"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Energy.Active.Import.Register"",""location"":""Body"",""unit"":""kWh""},{""value"":""136.6"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Current.Import"",""location"":""Body"",""unit"":""A""},{""value"":""437.7"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Voltage"",""location"":""Body"",""unit"":""V""},{""value"":""59.7898"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Power.Active.Import"",""location"":""Body"",""unit"":""kW""},{""value"":""35"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""SoC"",""location"":""EV"",""unit"":""Percent""},{""value"":""36.9"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Temperature"",""location"":""Outlet"",""unit"":""Celsius""},{""value"":""60"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Power.Offered"",""location"":""Body"",""unit"":""kW""}]}]}]"
2025-07-14 05:18:55.811000+00:00	WSPROXY	Send	"[3,""a4568c15-7d5c-4597-b37b-d20cdab2a164"",{}]"
2025-07-14 05:18:55.706000+00:00	WSPROXY	Receive	"[2,""a4568c15-7d5c-4597-b37b-d20cdab2a164"",""MeterValues"",{""connectorId"":2,""transactionId"":1058,""meterValue"":[{""timestamp"":""2025-07-14T05:18:54.239Z"",""sampledValue"":[{""value"":""139.562"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Energy.Active.Import.Register"",""location"":""Body"",""unit"":""kWh""},{""value"":""70.3"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Current.Import"",""location"":""Body"",""unit"":""A""},{""value"":""425.3"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Voltage"",""location"":""Body"",""unit"":""V""},{""value"":""29.8986"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Power.Active.Import"",""location"":""Body"",""unit"":""kW""},{""value"":""34"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""SoC"",""location"":""EV"",""unit"":""Percent""},{""value"":""36.8"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Temperature"",""location"":""Outlet"",""unit"":""Celsius""},{""value"":""20"",""context"":""Sample.Periodic"",""format"":""Raw"",""measurand"":""Power.Offered"",""location"":""Body"",""unit"":""kW""}]}]}]"
2025-07-14 05:18:29.994000+00:00	WSPROXY	Send	"[3,""9318cf44-4f4e-4bae-9795-2329193c6d91"",{}]"
2025-07-14 05:18:29.901000+00:00	WSPROXY	Receive	"[2,""9318cf44-4f4e-4bae-9795-2329193c6d91"",""MeterValues"",{""connectorId"":2,""transactionId"":1058,""meterValue"":[{""timestamp"":""2025-07-14T05:18:24.905Z"",""sampledValue"":[{""value"":""139.44"",""context"":""Transaction.Begin"",""format"":""Raw"",""measurand"":""Energy.Active.Import.Register"",""location"":""Body"",""unit"":""kWh""},{""value"":""0"",""context"":""Transaction.Begin"",""format"":""Raw"",""measurand"":""Current.Import"",""location"":""Body"",""unit"":""A""},{""value"":""0"",""context"":""Transaction.Begin"",""format"":""Raw"",""measurand"":""Voltage"",""location"":""Body"",""unit"":""V""},{""value"":""0"",""context"":""Transaction.Begin"",""format"":""Raw"",""measurand"":""Power.Active.Import"",""location"":""Body"",""unit"":""kW""},{""value"":""33"",""context"":""Transaction.Begin"",""format"":""Raw"",""measurand"":""SoC"",""location"":""EV"",""unit"":""Percent""},{""value"":""36.8"",""context"":""Transaction.Begin"",""format"":""Raw"",""measurand"":""Temperature"",""location"":""Outlet"",""unit"":""Celsius""},{""value"":""0"",""context"":""Transaction.Begin"",""format"":""Raw"",""measurand"":""Power.Offered"",""location"":""Body"",""unit"":""kW""}]}]}]"
2025-07-14 05:18:27.811000+00:00	WSPROXY	Send	"[3,""b19c6059-2b40-46a8-b4ea-7731bcc1fe85"",{""idTagInfo"":{""expiryDate"":""2025-12-12T12:00:44Z"",""parentIdTag"":"""",""status"":""Accepted""},""transactionId"":1058}]"
2025-07-14 05:18:27.743000+00:00	WSPROXY	Send	"[3,""9102ed92-4fd9-43d1-b3b5-3e62a38433c1"",{}]"
2025-07-14 05:18:27.664000+00:00	WSPROXY	Receive	"[2,""9102ed92-4fd9-43d1-b3b5-3e62a38433c1"",""StatusNotification"",{""errorCode"":""NoError"",""connectorId"":2,""status"":""Charging"",""timestamp"":""2025-07-14T05:18:26.434Z"",""vendorErrorCode"":""NoError"",""info"":"""",""vendorId"":""Gresgying""}]"
